id;placed_date;status;code;invoice_id;customer_id
1;2019-11-05T03:45:21;PENDING;Brunei Darussalam interface;compress lavender Investment Account;1
2;2019-11-05T08:35:04;COMPLETED;Frozen Analyst card;redundant;2
3;2019-11-05T04:07:58;PENDING;Chips;navigating;3
4;2019-11-04T17:55:46;COMPLETED;Optimized;microchip;4
5;2019-11-04T18:47:17;CANCELLED;e-markets system;Organic;5
6;2019-11-05T02:05:22;CANCELLED;leading-edge;Ergonomic Steel Gloves;6
7;2019-11-04T14:06:07;CANCELLED;online e-business;systems integrate;7
8;2019-11-04T19:51:09;COMPLETED;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;8
9;2019-11-04T20:34:27;CANCELLED;North Carolina Granite;Somalia Web revolutionize;9
10;2019-11-04T11:33:52;COMPLETED;yellow;Books Generic;10
